program_id,years_since_start,annual_earnings,cumulative_earnings,cumulative_earnings_net_of_debt
psychology_expected,19,52997.760782956204,828787.7203951487,779782.1375181531
psychology_expected,20,52997.760782956204,881785.4811781049,829648.4415552693
psychology_expected,21,52997.760782956204,934783.241961061,879314.6455063262
psychology_expected,22,52997.760782956204,987781.0027440172,928767.962975825
psychology_expected,23,52997.760782956204,1040778.7635269733,977994.7905175936
psychology_expected,24,52997.760782956204,1093776.5243099295,1026980.6554252505
psychology_expected,25,52997.760782956204,1146774.2850928856,1075710.1601864756
psychology_expected,26,52997.760782956204,1199772.0458758418,1124166.923387912
psychology_expected,27,52997.760782956204,1252769.806658798,1172333.5168438896
psychology_expected,28,52997.760782956204,1305767.567441754,1220191.3987076732
psychology_expected,29,52997.760782956204,1358765.3282247102,1267720.8423085217
psychology_expected,30,52997.760782956204,1411763.0890076663,1314900.8604414333
electrician,0,42670.0,42670.0,42670.0
electrician,1,42670.0,85340.0,85340.0
electrician,2,42670.0,128010.0,128010.0
electrician,3,42670.0,170680.0,170680.0
electrician,4,63190.0,233870.0,233870.0
electrician,5,63190.0,297060.0,297060.0
electrician,6,63190.0,360250.0,360250.0
electrician,7,63190.0,423440.0,423440.0
electrician,8,63190.0,486630.0,486630.0
electrician,9,63190.0,549820.0,549820.0
electrician,10,63190.0,613010.0,613010.0
electrician,11,63190.0,676200.0,676200.0
electrician,12,63190.0,739390.0,739390.0
electrician,13,63190.0,802580.0,802580.0
electrician,14,63190.0,865770.0,865770.0
electrician,15,63190.0,928960.0,928960.0
electrician,16,63190.0,992150.0,992150.0
electrician,17,63190.0,1055340.0,1055340.0
electrician,18,63190.0,1118530.0,1118530.0
electrician,19,63190.0,1181720.0,1181720.0
electrician,20,63190.0,1244910.0,1244910.0
electrician,21,63190.0,1308100.0,1308100.0
electrician,22,63190.0,1371290.0,1371290.0
electrician,23,63190.0,1434480.0,1434480.0
electrician,24,63190.0,1497670.0,1497670.0
electrician,25,63190.0,1560860.0,1560860.0
electrician,26,63190.0,1624050.0,1624050.0
electrician,27,63190.0,1687240.0,1687240.0
electrician,28,63190.0,1750430.0,1750430.0
electrician,29,63190.0,1813620.0,1813620.0
electrician,30,63190.0,1876810.0,1876810.0
electrician_expected,0,42670.0,42670.0,42670.0
electrician_expected,1,42670.0,85340.0,85340.0
electrician_expected,2,42670.0,128010.0,128010.0
electrician_expected,3,42670.0,170680.0,170680.0
electrician_expected,4,63190.0,233870.0,233870.0
electrician_expected,5,63190.0,297060.0,297060.0
electrician_expected,6,63190.0,360250.0,360250.0
electrician_expected,7,63190.0,423440.0,423440.0
electrician_expected,8,63190.0,486630.0,486630.0
electrician_expected,9,63190.0,549820.0,549820.0
electrician_expected,10,63190.0,613010.0,613010.0
electrician_expected,11,63190.0,676200.0,676200.0
electrician_expected,12,63190.0,739390.0,739390.0
electrician_expected,13,63190.0,802580.0,802580.0
electrician_expected,14,63190.0,865770.0,865770.0
electrician_expected,15,63190.0,928960.0,928960.0
electrician_expected,16,63190.0,992150.0,992150.0
electrician_expected,17,63190.0,1055340.0,1055340.0
electrician_expected,18,63190.0,1118530.0,1118530.0
electrician_expected,19,63190.0,1181720.0,1181720.0
electrician_expected,20,63190.0,1244910.0,1244910.0
electrician_expected,21,63190.0,1308100.0,1308100.0
electrician_expected,22,63190.0,1371290.0,1371290.0
electrician_expected,23,63190.0,1434480.0,1434480.0
electrician_expected,24,63190.0,1497670.0,1497670.0
electrician_expected,25,63190.0,1560860.0,1560860.0
electrician_expected,26,63190.0,1624050.0,1624050.0
electrician_expected,27,63190.0,1687240.0,1687240.0
electrician_expected,28,63190.0,1750430.0,1750430.0
electrician_expected,29,63190.0,1813620.0,1813620.0
electrician_expected,30,63190.0,1876810.0,1876810.0
